Word,Count
the,1897
=,1407
-,816
to,715
of,653
a,644
if,636
in,458
#,428
is,364
for,339
return,329
this,311
def,263
not,252
be,240
and,234
file,226
%,221
sobject,220
an,207
that,204
snapshot,200
''',181
==,181
value,176
it,169
var,168
Function:,166
'''API,165
else:,147
type,140
@return:,136
mode,132
will,130
on,129
@param:,127
from,125
set,123
path,123
all,121
or,118
This,117
dictionary,116
directory,113
key,113
as,113
search_key,111
get,107
search,107
unique,99
),97
use,94
server,91
@keyparam:,90
elif,90
search_type,90
\search_key,\,85
are,84
data,84
files,83
{,82
code,81
name,80
add,79
element,75
},74
dir,73
with,70
by,69
used,68
list,68
context,67
identifier,65
view,65
+,65
\search_type,\,64
string,63
table,63
checkin,62
which,61
\snapshot_code,\,58
version,57
can,57
[/code],57
[code],57
paths,57
..,56
new,56
,55
then,54
Get,52
None,51
user,51
current,51
ticket,50
values,50
check,48
raise,48
whether,48
information,48
class,46
login,46
widget,46
method,45
create,45
info,45
representing,45
\context,\,44
xml,43
import,43
print,43
client,43
specific,43
one,43
returned,42
transaction,42
\"\%s/%s"\\,41
description,41
column,40
The,40
True,39
results,39
flag,39
TACTIC,39
array,39
FIXME:,39
snapshots,39
\file_type='main',\,39
expression,38
pipeline,38
have,38
first,37
If,37
update,37
make,37
naming,37
file_type,37
does,37
should,36
id,36
there,36
so,35
try:,35
methods,35
when,35
\"\\,35
handoff,34
project,33
parent,32
!=,32
\file_type,\,32
any,32
some,32
only,32
group,32
include,32
form,32
pass,31
snapshot_code,31
use_handoff_dir,30
@example:,30
into,30
result,30
\file_path,\,30
defined,30
display,29
attr,29
was,29
function,29
file_path,29
checked,29
we,29
no,29
out,29
project_code,29
already,28
find,28
False,28
A,28
relative,27
);,27
filename,27
may,27
copy,27
do,27
\level_key=None,\,27
columns,26
here,26
resource,26
@return,26
test,26
where,25
metadata,25
object,25
sure,25
It,25
but,25
process,24
\mode,\,24
-1:,24
\data,\,24
sobjects,24
asset,24
determines,24
\(handoff_dir,\,24
exist,24
