File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\ez_setup.py,134,114,0,8,20,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\setup.py,127,113,0,7,14,2,0,5,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpchecker.py,323,275,3,73,48,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpconfig.py,270,225,10,24,45,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpdispatch.py,569,465,8,75,104,5,0,11,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cperror.py,397,320,9,39,77,3,0,3,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cplogging.py,251,213,1,31,38,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpmodpy.py,334,269,3,27,65,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpnative_server.py,151,124,0,10,27,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpreqbody.py,724,606,6,132,118,4,0,4,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cprequest.py,941,775,14,59,166,2,0,6,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpserver.py,140,118,0,20,22,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpthreadinglocal.py,240,184,2,11,56,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cptools.py,499,392,6,43,107,2,0,2,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cptree.py,279,218,9,33,61,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\_cpwsgi.py,341,273,8,33,68,0,0,0,0,0
