Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1099,410271,300287,25931,37687,100047,393,9937,38335,0,8
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02,1099,410271,300287,25931,37687,100047,393,9937,38335,0,8
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party,206,53360,42976,954,5808,9916,258,468,1626,0,8
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy,103,26680,21488,477,2904,4958,129,234,813,0,4
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1,103,26680,21488,477,2904,4958,129,234,813,0,4
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy,101,26419,21261,477,2889,4924,127,234,808,0,4
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\lib,17,4842,3900,116,730,840,20,102,375,0,2
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\process,5,1422,1184,14,143,238,11,0,13,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\scaffold,1,62,45,1,5,17,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\test,47,10831,8572,247,886,2127,56,132,366,0,2
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\tutorial,12,779,578,4,50,201,4,0,8,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy-3.2.0rc1\cherrypy\wsgiserver,3,2387,2024,14,409,363,15,0,15,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy,101,26419,21261,477,2889,4924,127,234,808,0,4
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\lib,17,4842,3900,116,730,840,20,102,375,0,2
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\process,5,1422,1184,14,143,238,11,0,13,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\scaffold,1,62,45,1,5,17,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\test,47,10831,8572,247,886,2127,56,132,366,0,2
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\tutorial,12,779,578,4,50,201,4,0,8,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\3rd_party\CherryPy\cherrypy\wsgiserver,3,2387,2024,14,409,363,15,0,15,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\doc,1,39,26,0,4,13,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src,892,356872,257285,24977,31875,90118,135,9469,36709,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\bin,27,2440,1802,9,212,638,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\bin\example,2,145,111,0,12,34,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\bin\fixes,8,636,443,2,59,193,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\bin\util,8,819,613,6,55,206,1,0,1,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client,46,10565,5245,113,416,1981,2,3339,12896,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\bin,2,155,114,4,11,41,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\examples,12,1254,1010,5,103,244,0,0,0,0,0
C:\Dropbox\PythonProject\Projects\tactic-4.0.0.rc02\src\client\tactic_client_lib,24,6332,2070,19,234,923,2,3339,12896,0,0
